;TINFOLEAK Report;;;;;;;;;;;;;;;;
;Vicente Aguilera Díaz;;;;;;;;;;;;;;;;
;@VAguileraDiaz;;;;;;;;;;;;;;;;
;www.isecauditors.com;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;>>> Date:;08/07/2020;;;;;;;;;;;;;;;
;>>> Time:;17:01;;;;;;;;;;;;;;;
;>>> Analyzed user:;jsantiagowx;;;;;;;;;;;;;;;
;>>> Information:;Followers;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;ID;USERNAME;SCREEN NAME;DESCRIPTION;PROFILE IMAGE URL;PROFILE BANNER URL;CREATED AT;LOCATION;TIME_ZONE;GEO ENABLED;FOLLOWERS COUNT;FRIENDS COUNT;STATUSES COUNT;LISTED COUNT;FAVOURITES COUNT;USER VERIFIED;USER LANG
34;336498416;Alvaro Gonzalez M.;algomar19;Una generación pasa volando y en veinte años podemos presentar un Hombre nuevo hecho en casa.;http://pbs.twimg.com/profile_images/761531146958012416/DHfsFtrI_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;16/07/2011 11:52;Cartagena;;True;2854;3791;25968;3;4206;False;
35;126990913;MisterBlister;MisterBlister13;Estrato 3, Ochentero, fan del jugo de tomate de árbol, paisa antiuribista, nieto de arrieros, hijo de artesanos, andariego. ;;;;;;;;;;;;;
"#siganmelosbuenos""";http://pbs.twimg.com/profile_images/1232702547921686531/-Tb0CYOt_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;27/03/2010 17:30;;;True;1148;2098;3254;4;1711;False;;;;;
36;53220683;Luis Alberto Franky;Babetofranky;Opinador de todo, con sarcasmo, pero CON TODO RESPETO, para que no se deliquen;http://pbs.twimg.com/profile_images/860268330183274496/CEGUyjHg_normal.jpg;http://abs.twimg.com/images/themes/theme5/bg.gif;02/07/2009 23:13;Colombia;;True;586;2094;1776;1;330;False;
37;1307493697;Don Gato;jebelapa;Porque los buenos somos más...Por una Colombia Humana🇪🇨🕊;http://pbs.twimg.com/profile_images/1115757787118800898/xGpuEgIO_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;27/03/2013 13:23;;;False;2095;4295;59254;1;43991;False;
38;1,27E+32;Isabel Benítez;BenitezMo23;En Colombia  o tomas las riendas de tu país o nos llevo el putas, 🇨🇴🇨🇴🇨🇴COLOMBIA LIBRE  🇨🇴🇨🇴🇨🇴;http://pbs.twimg.com/profile_images/1278832602556674048/tGjKw9Gw_normal.jpg;;10/06/2020 15:29;Colombia;;False;159;326;424;0;691;False;
39;255838244;Jhon....;jhogacha;Empatía, consiste en tener la capacidad de ponerse en el lugar del otro.;http://pbs.twimg.com/profile_images/1263288140325892096/IGbpoIir_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;22/02/2011 4:12;Cartagena-Colombia;;True;122;440;692;0;2097;False;
40;365594005;Juan David Quintero;JD_Quinteror;Defiendo ideas liberales. Co-dirijo @ColombiaLides donde pensamos a Colombia más igualitaria, justa y con desarrollo sostenible. Fui Edil de Usaquén. Amo Bucear;http://pbs.twimg.com/profile_images/1197926890889207808/qQiYkKKb_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;31/08/2011 18:04;Bogotá, D.C., Colombia;;True;2126;1511;5961;8;1561;False;
41;156456941;Rosa Moreno🐝🐝🐝;ismene2;Mamerta.🔻;http://pbs.twimg.com/profile_images/1156291095380340737/UOiu-7zv_normal.jpg;http://abs.twimg.com/images/themes/theme9/bg.gif;17/06/2010 0:37;Colombia;;True;87276;14294;127182;357;923;False;
42;1,26E+32;German Castro;GermanC25598071;100% antiuribista feliz de ser colombiano;http://pbs.twimg.com/profile_images/1269034959043530752/e1uswVF-_normal.jpg;;07/05/2020 16:31;;;False;1119;4171;3606;0;3775;False;
43;1,24E+32;©®™🔎🔎🔎;CrIsTaL_MariNa_;🌼 Luna Lune®a🌼;http://pbs.twimg.com/profile_images/1277820968824700931/ZcODUW6O_normal.jpg;;25/03/2020 1:10;Estados Unidos;;True;1201;571;4817;0;5271;False;
44;364451402;Juan Daniel;juancho090;Persona partidaria de los acuerdos de paz en la Habana. Es hora de pasar la página de la guerra. Busquemos concensos entre todos para lograr la paz en Colombia.;http://pbs.twimg.com/profile_images/1250968012183699463/soQMJMIG_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;29/08/2011 19:57;Cali, Colombia;;False;1223;3440;10338;0;5291;False;
45;9,68E+31;UnEnfermeroAntiSistema.;Brayanstar4;Enfermero de cuidado crítico - Activista - lector -Emprendedor - Pensamiento Crítico;http://pbs.twimg.com/profile_images/1266808328249802752/jOF05FOO_normal.jpg;;26/02/2018 5:10;Colombia;;True;392;921;3138;0;3299;False;
46;1,23E+32;Lobito;Lobitoherrera_1;🤍🤍🤍;http://pbs.twimg.com/profile_images/1227405243278905344/l_9DQwud_normal.jpg;;12/02/2020 1:32;;;False;0;452;752;0;3324;False;
47;2952950195;ﾌㄖ尺Ꮆ乇 💎;jorgeprotesta;Me sigues, te sigo 🔄;http://pbs.twimg.com/profile_images/1254750280085909504/5p5lYcoD_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;31/12/2014 11:37;Medellin;;False;6154;6758;14537;2;46153;False;
48;928998846;Pestilencia;La_Pestilencia;Pestilencia Oficial Punk Hardcore  - Colombia ;;;;;;;;;;;;;
"30 años de verdades aquí https://t.co/jg86MqhsDr""";http://pbs.twimg.com/profile_images/1259523884476399617/jjOpLlhv_normal.jpg;http://abs.twimg.com/images/themes/theme1/bg.png;06/11/2012 4:41;;;False;10021;7527;5269;30;6092;False;;;;;
49;1,20E+32;Giovani v.;giovani_twiter;;http://pbs.twimg.com/profile_images/1275275385245184000/JuIMAzT4_normal.jpg;;19/11/2019 3:15;Colombia;;False;395;781;2086;0;11305;False;
50;1,12E+32;@bgallon;bgallon4;aprender ❤;http://pbs.twimg.com/profile_images/1233596524640206851/ndBhvAZE_normal.jpg;;30/04/2019 23:09;;;True;999;2333;1897;0;35999;False;
